;ordernumber;series_name;model_name;product_line;shutter;monocolor;sensor_optical_size;resolution_horizontal;resolution_vertical;pixel_size_horizontal;pixel_size_vertical;sensor_name;housing_name;interface;sensor_framerate_min;sensor_framerate_max;mount;price
163;108010;Basler dart;daA4200-30mci (No-Mount);;Rolling;Color;"1/3""";4208;3120;1,1;1,1;AR1335;Board Level;BCON for MIPI;30;30;No-Mount;99
164;108011;Basler dart;daA4200-30mci (S-Mount);;Rolling;Color;"1/3""";4208;3120;1,1;1,1;AR1335;Board Level;BCON for MIPI;30;30;S-Mount;112
165;108012;Basler dart;daA4200-30mci (No-Mount) - Tray (40pcs);;Rolling;Color;"1/3""";4208;3120;1,1;1,1;AR1335;Board Level;BCON for MIPI;30;30;No-Mount;75
166;108013;Basler dart;daA4200-30mci (S-Mount) - Tray (40pcs);;Rolling;Color;"1/3""";4208;3120;1,1;1,1;AR1335;Board Level;BCON for MIPI;30;30;S-Mount;89
167;107404;Basler ace;acA4024-29um;ace U;Rolling;Mono;"1/1.7""";4024;3036;1,85;1,85;IMX226;Box;USB 3.0;31;31;C-Mount;479
168;107405;Basler ace;acA4024-29uc;ace U;Rolling;Color;"1/1.7""";4024;3036;1,85;1,85;IMX226;Box;USB 3.0;31;31;C-Mount;509
169;109488;Basler ace 2;a2A3536-31umBAS;ace 2 R Basic;Rolling;Mono;1/1.6;3536;3536;2,0;2,0;IMX676;Box;USB 3.0;31;31;C-Mount;379
170;109489;Basler ace 2;a2A3536-31ucBAS;ace 2 R Basic;Rolling;Color;1/1.6;3536;3536;2,0;2,0;IMX676;Box;USB 3.0;31;31;C-Mount;399
171;109490;Basler ace 2;a2A3536-31umPRO;ace 2 R Pro;Rolling;Mono;1/1.6;3536;3536;2,0;2,0;IMX676;Box;USB 3.0;31;31;C-Mount;479
172;109491;Basler ace 2;a2A3536-31ucPRO;ace 2 R Pro;Rolling;Color;1/1.6;3536;3536;2,0;2,0;IMX676;Box;USB 3.0;31;31;C-Mount;499
173;109496;Basler ace 2;a2A3536-42g5mBAS;ace 2 R Basic;Rolling;Mono;1/1.6;3536;3536;2,0;2,0;IMX676;Box;5GigE;42;42;C-Mount;549
174;109497;Basler ace 2;a2A3536-42g5cBAS;ace 2 R Basic;Rolling;Color;1/1.6;3536;3536;2,0;2,0;IMX676;Box;5GigE;42;42;C-Mount;569
175;108125;Basler ace 2;a2A3840-45umPRO;ace 2 R Pro;Rolling;Mono;"1/1.8""";3840;2160;2,0;2,0;IMX334;Box;USB 3.0;45;45;C-Mount;429
176;108126;Basler ace 2;a2A3840-45ucPRO;ace 2 R Pro;Rolling;Color;"1/1.8""";3840;2160;2,0;2,0;IMX334;Box;USB 3.0;45;45;C-Mount;449
177;108014;Basler ace 2;a2A3840-45umBAS;ace 2 R Basic;Rolling;Mono;"1/1.8""";3840;2160;2,0;2,0;IMX334;Box;USB 3.0;45;45;C-Mount;319
178;108270;Basler dart;daA3840-45um (No-Mount);;Rolling;Mono;"1/1.8""";3840;2160;2,0;2,0;IMX334;Board Level;USB 3.0;45;45;No-Mount;179
179;108015;Basler ace 2;a2A3840-45ucBAS;ace 2 R Basic;Rolling;Color;"1/1.8""";3840;2160;2,0;2,0;IMX334;Box;USB 3.0;45;45;C-Mount;339
180;108271;Basler dart;daA3840-45um (S-Mount);;Rolling;Mono;"1/1.8""";3840;2160;2,0;2,0;IMX334;Board Level;USB 3.0;45;45;S-Mount;179
181;108272;Basler dart;daA3840-45um (CS-Mount);;Rolling;Mono;"1/1.8""";3840;2160;2,0;2,0;IMX334;Board Level;USB 3.0;45;45;CS-Mount;179
182;108273;Basler dart;daA3840-45uc (No-Mount);;Rolling;Color;"1/1.8""";3840;2160;2,0;2,0;IMX334;Board Level;USB 3.0;45;45;No-Mount;179
183;108274;Basler dart;daA3840-45uc (S-Mount);;Rolling;Color;"1/1.8""";3840;2160;2,0;2,0;IMX334;Board Level;USB 3.0;45;45;S-Mount;179
184;108275;Basler dart;daA3840-45uc (CS-Mount);;Rolling;Color;"1/1.8""";3840;2160;2,0;2,0;IMX334;Board Level;USB 3.0;45;45;CS-Mount;179
185;108142;Basler MED ace;MED ace 6.4 MP 59 mono;;Rolling;Mono;"1/1.8""";3088;2064;2,4;2,4;IMX178;Box;USB 3.0;59;59;C-Mount;559
186;108143;Basler MED ace;MED ace 6.4 MP 59 color;;Rolling;Color;"1/1.8""";3088;2064;2,4;2,4;IMX178;Box;USB 3.0;59;59;C-Mount;599
187;107402;Basler ace;acA3088-57um;ace U;Rolling;Mono;"1/1.8""";3088;2064;2,4;2,4;IMX178;Box;USB 3.0;59;59;C-Mount;409
188;107403;Basler ace;acA3088-57uc;ace U;Rolling;Color;"1/1.8""";3088;2064;2,4;2,4;IMX178;Box;USB 3.0;59;59;C-Mount;429
189;108129;Basler ace 2;a2A2590-60umPRO;ace 2 R Pro;Rolling;Mono;"1/2.8""";2592;1944;2,0;2,0;IMX334ROI;Box;USB 3.0;60;60;C-Mount;399
190;108130;Basler ace 2;a2A2590-60ucPRO;ace 2 R Pro;Rolling;Color;"1/2.8""";2592;1944;2,0;2,0;IMX334ROI;Box;USB 3.0;60;60;C-Mount;419
191;108482;Basler dart;daA2500-60mc (No-Mount);;Rolling;Color;"1/2.5""";2560;1920;2,2;2,2;AR0521;Board Level;BCON for MIPI;60;60;No-Mount;79
192;108483;Basler dart;daA2500-60mc (S-Mount);;Rolling;Color;"1/2.5""";2560;1920;2,2;2,2;AR0521;Board Level;BCON for MIPI;60;60;S-Mount;92
193;108484;Basler dart;daA2500-60mc (No-Mount) - Tray (40pcs);;Rolling;Color;"1/2.5""";2560;1920;2,2;2,2;AR0521;Board Level;BCON for MIPI;60;60;No-Mount;57
194;108485;Basler dart;daA2500-60mc (S-Mount) - Tray (40pcs);;Rolling;Color;"1/2.5""";2560;1920;2,2;2,2;AR0521;Board Level;BCON for MIPI;60;60;S-Mount;69
195;108006;Basler dart;daA2500-60mci (No-Mount);;Rolling;Color;"1/2.5""";2560;1920;2,2;2,2;AR0521;Board Level;BCON for MIPI;60;60;No-Mount;89
196;108007;Basler dart;daA2500-60mci (S-Mount);;Rolling;Color;"1/2.5""";2560;1920;2,2;2,2;AR0521;Board Level;BCON for MIPI;60;60;S-Mount;99
197;108008;Basler dart;daA2500-60mci (No-Mount) - Tray (40pcs);;Rolling;Color;"1/2.5""";2560;1920;2,2;2,2;AR0521;Board Level;BCON for MIPI;60;60;No-Mount;65
198;108009;Basler dart;daA2500-60mci (S-Mount) - Tray (40pcs);;Rolling;Color;"1/2.5""";2560;1920;2,2;2,2;AR0521;Board Level;BCON for MIPI;60;60;S-Mount;75
199;106486;Basler ace;acA1280-60gm;ace Classic;Rolling;Mono;"1/1.8""";1280;1024;5,3;5,3;EV76C560;Box;GigE;60;60;C-Mount;289
200;106487;Basler ace;acA1280-60gc;ace Classic;Rolling;Color;"1/1.8""";1280;1024;5,3;5,3;EV76C560;Box;GigE;60;60;C-Mount;309
201;108028;Basler ace 2;a2A2590-60umBAS;ace 2 R Basic;Rolling;Mono;"1/2.8""";2592;1944;2,0;2,0;IMX334ROI;Box;USB 3.0;60;60;C-Mount;289
202;108029;Basler ace 2;a2A2590-60ucBAS;ace 2 R Basic;Rolling;Color;"1/2.8""";2592;1944;2,0;2,0;IMX334ROI;Box;USB 3.0;60;60;C-Mount;309
