;ordernumber;model_name;focal_length;mount;sensor_format;min_object_distance;price
69;2000036061;"Evetar Lens M13B02118W F1.8 f2.1mm 1/3""";2.1 mm;S-mount;"1/3""";100,0;28,0
70;2200001056;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2.5 mm;S-mount;"1/1,8""";300,0;33,0
71;2200001057;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2.5 mm;S-mount;"1/1,8""";300,0;33,0
72;2000035611;"Evetar Lens M13B02820IR F2.0 f2.8mm 1/3""";2.8 mm;S-mount;"1/3""";100,0;15,0
73;2000035612;"Evetar Lens M13B02820W F2.0 f2.8mm 1/3""";2.8 mm;S-mount;"1/3""";100,0;16,0
74;2000036382;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3 mm;S-mount;"1/1,8""";300,0;51,0
75;2000036383;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3 mm;S-mount;"1/1,8""";300,0;53,0
76;2000035614;"Evetar Lens M13B03618IR F1.8 f3.6mm 1/3""";3.6 mm;S-mount;"1/3""";200,0;9,6
77;2000035615;"Evetar Lens M13B03618W F1.8 f3.6mm 1/3""";3.6 mm;S-mount;"1/3""";200,0;10,6
78;2000036384;"Evetar Lens M118B0418IR F1.8 f4mm 1/1.8""";4 mm;S-mount;"1/1,8""";200,0;32,0
79;2000036385;"Evetar Lens M118B0418W F1.8 f4mm 1/1.8""";4 mm;S-mount;"1/1,8""";200,0;33,0
80;2200001058;"Evetar Lens E3360A F2.0 f4.0mm 1/1.8""";4 mm;S-mount;"1/1,8""";300,0;33,0
81;2200000589;"Evetar Lens E3360D IR-Cut F2.0 f4mm 1/1.8""";4 mm;S-mount;"1/1,8""";300,0;33,0
82;2000035175;"Evetar Lens M13B04218IR F1.8 f4.2mm 1/3""";4.2 mm;S-mount;"1/3""";200,0;9,6
83;2000035176;"Evetar Lens M13B04218W F1.8 f4.2mm 1/3""";4.2 mm;S-mount;"1/3""";200,0;10,6
84;2000035177;"Evetar Lens M13B0618IR F1.8 f6mm 1/3""";6 mm;S-mount;"1/3""";200,0;9,6
85;2000035178;"Evetar Lens M13B0618W F1.8 f6mm 1/3""";6 mm;S-mount;"1/3""";200,0;10,6
86;2200001060;"Evetar Lens E3388 F2.6 f7.8mm 1/1.8""";7.8 mm;S-mount;"1/1,8""";500,0;33,0
87;2200001061;"Evetar Lens E3388 IR-Cut F2.6 f7.8mm 1/1.8""";7.8 mm;S-mount;"1/1,8""";500,0;33,0
